               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1039,            0.093255,            0.064567,           0.0026354,             0.13333,           0.0033169,          0.00076344,            0.094339,            0.067962,            0.060681,               1e-05,               1e-05,             0.09991
                   1,             0.10463,            0.086915,            0.063134,           0.0017479,             0.13333,            0.022618,           0.0056629,             0.09386,            0.066892,            0.060593,               3e-05,               3e-05,             0.09973
                   2,             0.10508,             0.10066,            0.063957,           0.0017184,             0.13333,             0.02036,           0.0021003,            0.093259,              0.0658,            0.060513,               5e-05,               5e-05,             0.09955
                   3,             0.10328,            0.096137,            0.063655,          0.00066667,             0.16667,           0.0012378,          0.00027939,            0.092797,            0.064607,            0.060418,          6.9999e-05,          6.9999e-05,             0.09937
                   4,             0.10101,            0.083429,             0.06308,          0.00066667,             0.16667,           0.0010044,          0.00014663,            0.092379,            0.063421,            0.060311,          8.9997e-05,          8.9997e-05,             0.09919
                   5,             0.10349,            0.094357,            0.063423,          0.00066667,             0.16667,           0.0012632,          0.00020542,            0.091978,            0.062282,            0.060205,          0.00010999,          0.00010999,             0.09901
                   6,             0.10402,            0.084246,            0.062922,          0.00066667,             0.16667,          0.00080296,          0.00010391,            0.091611,            0.061173,            0.060088,          0.00012999,          0.00012999,             0.09883
                   7,             0.10354,             0.10029,            0.063568,          0.00066667,             0.16667,          0.00078293,          0.00012462,            0.091461,            0.060855,             0.06004,          0.00014999,          0.00014999,             0.09865
                   8,             0.10168,            0.085568,            0.063531,          0.00066667,             0.16667,           0.0015508,          0.00019669,            0.091155,            0.059989,            0.059942,          0.00016998,          0.00016998,             0.09847
                   9,             0.10002,            0.085848,            0.062426,          0.00067431,             0.16667,           0.0012219,          0.00014141,             0.09088,            0.059184,            0.059833,          0.00018997,          0.00018997,             0.09829
                  10,            0.099321,            0.087887,            0.063476,          0.00091324,             0.16667,           0.0018324,          0.00028275,            0.090708,            0.058362,            0.059728,          0.00020996,          0.00020996,             0.09811
                  11,             0.10126,            0.084875,            0.064879,          0.00073394,             0.13333,            0.001209,          0.00019604,            0.090581,            0.057629,            0.059619,          0.00022995,          0.00022995,             0.09793
                  12,             0.09614,            0.091701,            0.061965,          0.00069565,             0.13333,           0.0012623,          0.00014785,            0.090479,            0.056929,             0.05951,          0.00024993,          0.00024993,             0.09775
                  13,             0.10234,            0.070753,            0.062305,           0.0013636,                 0.1,           0.0019883,          0.00035056,            0.090443,            0.056238,            0.059406,          0.00026991,          0.00026991,             0.09757
                  14,            0.098587,             0.10065,            0.061962,          0.00090909,            0.066667,           0.0013735,           0.0002747,            0.090462,            0.055585,            0.059298,          0.00028989,          0.00028989,             0.09739
                  15,            0.096797,              0.0796,             0.06183,          0.00089888,            0.066667,           0.0014242,          0.00021047,            0.090386,            0.055016,             0.05919,          0.00030986,          0.00030986,             0.09721
                  16,            0.098729,            0.067049,            0.062425,                   0,                   0,                   0,                   0,             0.09035,            0.054462,            0.059082,          0.00032983,          0.00032983,             0.09703
                  17,            0.099149,            0.092356,            0.061929,                   0,                   0,                   0,                   0,            0.090284,            0.054002,            0.058988,           0.0003498,           0.0003498,             0.09685
                  18,            0.094963,            0.070752,            0.061195,                   0,                   0,                   0,                   0,            0.090173,            0.053529,            0.058875,          0.00036976,          0.00036976,             0.09667
                  19,            0.095436,            0.075866,            0.060602,                   0,                   0,                   0,                   0,            0.090066,            0.053122,            0.058779,          0.00038972,          0.00038972,             0.09649
                  20,            0.094505,            0.088838,             0.06109,                   0,                   0,                   0,                   0,            0.089944,            0.052728,            0.058671,          0.00040968,          0.00040968,             0.09631
                  21,            0.097859,            0.088271,            0.060691,                   0,                   0,                   0,                   0,            0.089821,            0.052371,            0.058566,          0.00042963,          0.00042963,             0.09613
